"Nekateri kazalniki transporta po statistiènih regijah, Slovenija, letno"

"KAZALNIK";"STATISTIÈNA REGIJA";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Število osebnih avtomobilov na 1.000 prebivalcev";"SLOVENIJA";517;518;519;518;516;518;523;531;541;549
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"SLOVENIJA";0.8;0.7;0.7;0.6;0.6;0.5;0.6;0.6;0.5;0.4
