"TIME","GEO","UNIT","SEX","Value","Flag and Footnotes"
"2012","Sweden","Number","Total","285",""
"2012","United Kingdom","Number","Total","1,802",""
"2012","Iceland","Number","Total","9",""
"2012","Liechtenstein","Number","Total","1",""
"2012","Norway","Number","Total","145",""
"2012","Switzerland","Number","Total","339",""
"2012","Turkey","Number","Total",":",""
"2013","European Union - 27 countries (from 2020)","Number","Total","24,213",""
"2013","European Union - 28 countries (2013-2020)","Number","Total","25,983",""
"2013","Belgium","Number","Total","764",""
"2013","Bulgaria","Number","Total","601",""
"2013","Czechia","Number","Total","654",""
"2013","Denmark","Number","Total","191",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","3,339",""
"2013","Estonia","Number","Total","81",""
"2013","Ireland","Number","Total","188",""
"2013","Greece","Number","Total","879",""
"2013","Spain","Number","Total","1,667",""
"2013","France","Number","Total","3,268",""
"2013","Croatia","Number","Total","368",""
"2013","Italy","Number","Total","3,401",""
"2013","Cyprus","Number","Total","44",""
"2013","Latvia","Number","Total","179",""
"2013","Lithuania","Number","Total","256",""
"2013","Luxembourg","Number","Total","45",""
"2013","Hungary","Number","Total","591",""
"2013","Malta","Number","Total","17",""
"2013","Netherlands","Number","Total","476",""
"2013","Austria","Number","Total","455",""
"2013","Poland","Number","Total","3,357",""
"2013","Portugal","Number","Total","637",""
"2013","Romania","Number","Total","1,861",""
"2013","Slovenia","Number","Total","125",""
"2013","Slovakia","Number","Total","251",""
"2013","Finland","Number","Total","258",""
"2013","Sweden","Number","Total","260",""
"2013","United Kingdom","Number","Total","1,770",""
"2013","Iceland","Number","Total","15",""
"2013","Liechtenstein","Number","Total","2",""
"2013","Norway","Number","Total","187",""
"2013","Switzerland","Number","Total","269",""
"2013","Turkey","Number","Total","3,685","d"
"2014","European Union - 27 countries (from 2020)","Number","Total","24,133",""
"2014","European Union - 28 countries (2013-2020)","Number","Total","25,987",""
"2014","Belgium","Number","Total","745",""
"2014","Bulgaria","Number","Total","661",""
"2014","Czechia","Number","Total","688",""
"2014","Denmark","Number","Total","182",""
"2014","Germany (until 1990 former territory of the FRG)","Number","Total","3,377",""
"2014","Estonia","Number","Total","78",""
"2014","Ireland","Number","Total","193",""
"2014","Greece","Number","Total","795",""
"2014","Spain","Number","Total","1,680",""
"2014","France","Number","Total","3,384",""
"2014","Croatia","Number","Total","308",""
"2014","Italy","Number","Total","3,381",""
"2014","Cyprus","Number","Total","45",""
"2014","Latvia","Number","Total","212",""
"2014","Lithuania","Number","Total","267",""
"2014","Luxembourg","Number","Total","35",""
"2014","Hungary","Number","Total","626",""
"2014","Malta","Number","Total","10",""
"2014","Netherlands","Number","Total","476",""
"2014","Austria","Number","Total","430",""
"2014","Poland","Number","Total","3,202",""
"2014","Portugal","Number","Total","638",""
"2014","Romania","Number","Total","1,818",""
"2014","Slovenia","Number","Total","108",""
"2014","Slovakia","Number","Total","295",""
"2014","Finland","Number","Total","229",""
"2014","Sweden","Number","Total","270",""
"2014","United Kingdom","Number","Total","1,854",""
"2014","Iceland","Number","Total","4",""
"2014","Liechtenstein","Number","Total","3","d"
"2014","Norway","Number","Total","147",""
"2014","Switzerland","Number","Total","243",""
"2014","Turkey","Number","Total","3,524","d"
"2015","European Union - 27 countries (from 2020)","Number","Total","24,358",""
"2015","European Union - 28 countries (2013-2020)","Number","Total","26,162",""
"2015","Belgium","Number","Total","762",""
"2015","Bulgaria","Number","Total","708",""
"2015","Czechia","Number","Total","734",""
"2015","Denmark","Number","Total","178",""
"2015","Germany (until 1990 former territory of the FRG)","Number","Total","3,459",""
"2015","Estonia","Number","Total","67",""
"2015","Ireland","Number","Total","162",""
"2015","Greece","Number","Total","793",""
"2015","Spain","Number","Total","1,689",""
"2015","France","Number","Total","3,459",""
"2015","Croatia","Number","Total","348",""
"2015","Italy","Number","Total","3,428",""
"2015","Cyprus","Number","Total","57",""
"2015","Latvia","Number","Total","188",""
"2015","Lithuania","Number","Total","242",""
"2015","Luxembourg","Number","Total","36",""
"2015","Hungary","Number","Total","644",""
"2015","Malta","Number","Total","11",""
"2015","Netherlands","Number","Total","531",""
"2015","Austria","Number","Total","479",""
"2015","Poland","Number","Total","2,938",""
"2015","Portugal","Number","Total","593",""
"2015","Romania","Number","Total","1,893",""
"2015","Slovenia","Number","Total","120",""
"2015","Slovakia","Number","Total","310",""
"2015","Finland","Number","Total","270",""
"2015","Sweden","Number","Total","259",""
"2015","United Kingdom","Number","Total","1,804",""
"2015","Iceland","Number","Total","16",""
"2015","Liechtenstein","Number","Total","2","d"
"2015","Norway","Number","Total","117",""
"2015","Switzerland","Number","Total","253",""
"2015","Turkey","Number","Total","7,530","d"
"2016","European Union - 27 countries (from 2020)","Number","Total","23,812","d"
"2016","European Union - 28 countries (2013-2020)","Number","Total","25,672","d"
"2016","Belgium","Number","Total","670",""
"2016","Bulgaria","Number","Total","708",""
"2016","Czechia","Number","Total","611",""
"2016","Denmark","Number","Total","211",""
"2016","Germany (until 1990 former territory of the FRG)","Number","Total","3,206",""
"2016","Estonia","Number","Total","71",""
"2016","Ireland","Number","Total","182",""
"2016","Greece","Number","Total","824",""
"2016","Spain","Number","Total","1,810",""
"2016","France","Number","Total","3,471",""
"2016","Croatia","Number","Total","307",""
"2016","Italy","Number","Total","3,283",""
"2016","Cyprus","Number","Total","46",""
"2016","Latvia","Number","Total","158",""
"2016","Lithuania","Number","Total","192","d"
"2016","Luxembourg","Number","Total","32",""
"2016","Hungary","Number","Total","607",""
"2016","Malta","Number","Total","23",""
"2016","Netherlands","Number","Total","533",""
"2016","Austria","Number","Total","432",""
"2016","Poland","Number","Total","3,026",""
"2016","Portugal","Number","Total","563",""
"2016","Romania","Number","Total","1,913",""
"2016","Slovenia","Number","Total","130",""
"2016","Slovakia","Number","Total","275","d"
"2016","Finland","Number","Total","258",""
"2016","Sweden","Number","Total","270",""
"2016","United Kingdom","Number","Total","1,860",""
"2016","Iceland","Number","Total","18",""
"2016","Liechtenstein","Number","Total","0","d"
"2016","Norway","Number","Total","135",""
"2016","Switzerland","Number","Total","216",""
"2016","Turkey","Number","Total","7,300","d"
"2017","European Union - 27 countries (from 2020)","Number","Total","23,394","d"
"2017","European Union - 28 countries (2013-2020)","Number","Total","25,250","d"
"2017","Belgium","Number","Total","609",""
"2017","Bulgaria","Number","Total","682",""
"2017","Czechia","Number","Total","577",""
"2017","Denmark","Number","Total","175",""
"2017","Germany (until 1990 former territory of the FRG)","Number","Total","3,180",""
"2017","Estonia","Number","Total","48",""
"2017","Ireland","Number","Total","156","d"
"2017","Greece","Number","Total","731",""
"2017","Spain","Number","Total","1,830",""
"2017","France","Number","Total","3,444",""
"2017","Croatia","Number","Total","331",""
"2017","Italy","Number","Total","3,378",""
"2017","Cyprus","Number","Total","53",""
"2017","Latvia","Number","Total","136",""
"2017","Lithuania","Number","Total","191","d"
"2017","Luxembourg","Number","Total","25",""
"2017","Hungary","Number","Total","625",""
"2017","Malta","Number","Total","19",""
"2017","Netherlands","Number","Total","535",""
"2017","Austria","Number","Total","414",""
"2017","Poland","Number","Total","2,831",""
"2017","Portugal","Number","Total","602",""
"2017","Romania","Number","Total","1,951",""
"2017","Slovenia","Number","Total","104",""
"2017","Slovakia","Number","Total","276","d"
"2017","Finland","Number","Total","238",""
"2017","Sweden","Number","Total","253",""
"2017","United Kingdom","Number","Total","1,856",""
"2017","Iceland","Number","Total","16",""
"2017","Liechtenstein","Number","Total","2","d"
"2017","Norway","Number","Total","106",""
"2017","Switzerland","Number","Total","230",""
"2017","Turkey","Number","Total","7,427","d"
"2018","European Union - 27 countries (from 2020)","Number","Total","23,339","d"
"2018","European Union - 28 countries (2013-2020)","Number","Total","25,178","d"
"2018","Belgium","Number","Total","604",""
"2018","Bulgaria","Number","Total","610",""
"2018","Czechia","Number","Total","656",""
"2018","Denmark","Number","Total","171",""
"2018","Germany (until 1990 former territory of the FRG)","Number","Total","3,275",""
"2018","Estonia","Number","Total","67",""
"2018","Ireland","Number","Total","142","d"
"2018","Greece","Number","Total","700",""
"2018","Spain","Number","Total","1,806",""
"2018","France","Number","Total","3,246",""
"2018","Croatia","Number","Total","317",""
"2018","Italy","Number","Total","3,334",""
"2018","Cyprus","Number","Total","49",""
"2018","Latvia","Number","Total","148",""
"2018","Lithuania","Number","Total","173","d"
"2018","Luxembourg","Number","Total","36",""
"2018","Hungary","Number","Total","633",""
"2018","Malta","Number","Total","18",""
"2018","Netherlands","Number","Total","598",""
"2018","Austria","Number","Total","409",""
"2018","Poland","Number","Total","2,862","d"
"2018","Portugal","Number","Total","704","d"
"2018","Romania","Number","Total","1,867",""
"2018","Slovenia","Number","Total","91",""
"2018","Slovakia","Number","Total","260","d"
"2018","Finland","Number","Total","239",""
"2018","Sweden","Number","Total","324",""
"2018","United Kingdom","Number","Total","1,839",""
"2018","Iceland","Number","Total","18",""
"2018","Liechtenstein","Number","Total","0","d"
"2018","Norway","Number","Total","108","d"
"2018","Switzerland","Number","Total","233",""
"2018","Turkey","Number","Total","6,675","d"
