"Cestna vozila konec leta (31.12.) glede na vrsto vozila in statistièno regijo, Slovenija, letno"

"VRSTA VOZILA";"STATISTIÈNA REGIJA";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"....osebni avtomobili";"Pomurska";53991;55723;57198;57881;58391;59026;59123;59043;59407;59571;60510;61703;63388;64601
"....osebni avtomobili";"Podravska";147609;153109;157900;159609;159774;160501;160494;160441;161568;163712;166336;169356;173006;176494
"....osebni avtomobili";"Koroška";33464;34392;35387;35705;35838;36199;36294;36245;36406;36410;36989;37560;38614;39177
"....osebni avtomobili";"Savinjska";120626;125618;129901;131614;132506;133539;133582;133110;133589;130855;133316;136148;140216;143207
"....osebni avtomobili";"Zasavska";19466;20122;20700;20930;20727;20560;20436;20171;20124;27656;28106;28595;29447;29967
"....osebni avtomobili";"Posavska";33309;34394;35671;36386;36534;36821;36835;36999;37308;40571;41403;42221;43368;44257
"....osebni avtomobili";"Jugovzhodna Slovenija";65961;68399;70852;71965;72654;73443;73646;73673;74487;75116;76697;78637;81271;83029
"....osebni avtomobili";"Osrednjeslovenska";259207;268000;276167;279611;279277;279332;279425;278586;279249;277436;281645;287539;290913;297298
"....osebni avtomobili";"Gorenjska";97122;100319;103271;104865;105283;105790;105411;105199;105546;106272;107839;109703;112008;113865
"....osebni avtomobili";"Primorsko-notranjska";26025;26973;27775;28300;28503;28818;29079;29029;29133;29316;29909;30385;31341;31938
"....osebni avtomobili";"Goriška";65157;66888;68344;69171;69124;69207;68678;68333;68449;68435;69386;70401;72242;73262
"....osebni avtomobili";"Obalno-kraška";58324;60185;62017;62821;63035;63259;63025;62966;63096;63387;64387;65687;67336;68276
"....specialni osebni avtomobili";"Pomurska";206;210;222;232;240;249;266;260;281;302;327;331;337;370
"....specialni osebni avtomobili";"Podravska";508;559;633;667;698;742;776;815;837;892;950;1026;1101;1199
"....specialni osebni avtomobili";"Koroška";126;160;182;187;188;212;211;223;243;251;267;274;307;324
"....specialni osebni avtomobili";"Savinjska";441;515;606;665;706;773;814;871;917;970;1026;1128;1214;1343
"....specialni osebni avtomobili";"Zasavska";83;86;98;112;117;117;117;116;122;193;207;234;244;269
"....specialni osebni avtomobili";"Posavska";118;124;145;152;156;177;193;218;218;242;272;277;296;313
"....specialni osebni avtomobili";"Jugovzhodna Slovenija";326;350;400;414;407;411;439;456;459;463;502;533;613;648
"....specialni osebni avtomobili";"Osrednjeslovenska";2474;2842;3065;3252;3278;3363;3462;3430;3710;3738;4009;4256;4368;4704
"....specialni osebni avtomobili";"Gorenjska";459;525;595;631;675;702;729;776;797;831;902;998;1082;1162
"....specialni osebni avtomobili";"Primorsko-notranjska";111;119;124;128;134;136;151;151;153;157;164;180;192;205
"....specialni osebni avtomobili";"Goriška";255;293;350;370;407;432;444;460;489;522;575;620;661;695
"....specialni osebni avtomobili";"Obalno-kraška";199;222;233;259;280;300;337;351;374;388;392;422;462;512
"..avtobusi";"Pomurska";104;105;111;108;105;114;117;113;115;114;119;119;122;119
"..avtobusi";"Podravska";321;340;323;314;315;314;313;316;340;340;348;363;381;376
"..avtobusi";"Koroška";94;98;97;98;102;102;101;107;113;115;100;38;39;45
"..avtobusi";"Savinjska";352;347;358;372;372;357;360;368;375;375;387;455;186;184
"..avtobusi";"Zasavska";44;43;42;39;39;39;41;41;42;54;25;25;26;26
"..avtobusi";"Posavska";71;69;75;83;80;80;73;77;84;90;97;104;109;109
"..avtobusi";"Jugovzhodna Slovenija";130;137;147;150;148;150;151;166;161;176;151;171;165;167
"..avtobusi";"Osrednjeslovenska";535;549;557;569;576;563;558;567;599;614;638;670;1201;1230
"..avtobusi";"Gorenjska";282;287;299;292;296;297;289;289;302;304;311;308;319;321
"..avtobusi";"Primorsko-notranjska";45;46;47;48;43;44;43;42;46;47;30;31;35;41
"..avtobusi";"Goriška";161;168;170;170;176;179;179;183;187;199;277;295;72;73
