"TIME","GEO","UNIT","VEHICLE","Value","Flag and Footnotes"
"2009","Portugal","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Portugal","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Portugal","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2009","Romania","Millions of passenger-kilometres","Total","12,805",""
"2009","Romania","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Romania","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Romania","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","12,805",""
"2009","Slovenia","Millions of passenger-kilometres","Total","28,971",""
"2009","Slovenia","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Slovenia","Millions of passenger-kilometres","Passenger cars","25,775",""
"2009","Slovenia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","3,196",""
"2009","Slovakia","Millions of passenger-kilometres","Total","5,502.2",""
"2009","Slovakia","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Slovakia","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Slovakia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","5,502.2",""
"2009","Finland","Millions of passenger-kilometres","Total","72,770",""
"2009","Finland","Millions of passenger-kilometres","Motorcycles","900","e"
"2009","Finland","Millions of passenger-kilometres","Passenger cars","64,330",""
"2009","Finland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","7,540",""
"2009","Sweden","Millions of passenger-kilometres","Total","108,859",""
"2009","Sweden","Millions of passenger-kilometres","Motorcycles","931",""
"2009","Sweden","Millions of passenger-kilometres","Passenger cars","99,406",""
"2009","Sweden","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","8,522",""
"2009","United Kingdom","Millions of passenger-kilometres","Total",":",""
"2009","United Kingdom","Millions of passenger-kilometres","Motorcycles",":",""
"2009","United Kingdom","Millions of passenger-kilometres","Passenger cars",":",""
"2009","United Kingdom","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2009","Iceland","Millions of passenger-kilometres","Total",":",""
"2009","Iceland","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Iceland","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Iceland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2009","Liechtenstein","Millions of passenger-kilometres","Total",":",""
"2009","Liechtenstein","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Liechtenstein","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Liechtenstein","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2009","Norway","Millions of passenger-kilometres","Total","64,014",""
"2009","Norway","Millions of passenger-kilometres","Motorcycles","1,318",""
"2009","Norway","Millions of passenger-kilometres","Passenger cars","58,296",""
"2009","Norway","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","4,401",""
"2009","Switzerland","Millions of passenger-kilometres","Total","90,232","r"
"2009","Switzerland","Millions of passenger-kilometres","Motorcycles","2,338","r"
"2009","Switzerland","Millions of passenger-kilometres","Passenger cars","82,459","r"
"2009","Switzerland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","5,435","r"
"2009","North Macedonia","Millions of passenger-kilometres","Total","1,213",""
"2009","North Macedonia","Millions of passenger-kilometres","Motorcycles",":",""
"2009","North Macedonia","Millions of passenger-kilometres","Passenger cars",":",""
"2009","North Macedonia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","1,213",""
"2009","Turkey","Millions of passenger-kilometres","Total","212,464",""
"2009","Turkey","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Turkey","Millions of passenger-kilometres","Passenger cars","124,038",""
"2009","Turkey","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","88,426",""
"2010","Belgium","Millions of passenger-kilometres","Total","131,170",""
"2010","Belgium","Millions of passenger-kilometres","Motorcycles","1,270",""
"2010","Belgium","Millions of passenger-kilometres","Passenger cars","112,640",""
"2010","Belgium","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","17,260",""
"2010","Bulgaria","Millions of passenger-kilometres","Total","9,632.8",""
"2010","Bulgaria","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Bulgaria","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Bulgaria","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","9,632.8",""
"2010","Czechia","Millions of passenger-kilometres","Total","79,944",""
"2010","Czechia","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Czechia","Millions of passenger-kilometres","Passenger cars","63,570","e"
"2010","Czechia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","16,374","d"
"2010","Denmark","Millions of passenger-kilometres","Total",":",""
"2010","Denmark","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Denmark","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Denmark","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2010","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","Total",":",""
"2010","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2010","Estonia","Millions of passenger-kilometres","Total",":",""
"2010","Estonia","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Estonia","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Estonia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","1,734.2",""
"2010","Ireland","Millions of passenger-kilometres","Total",":",""
"2010","Ireland","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Ireland","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Ireland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2010","Greece","Millions of passenger-kilometres","Total",":",""
"2010","Greece","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Greece","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Greece","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2010","Spain","Millions of passenger-kilometres","Total","395,332","d"
"2010","Spain","Millions of passenger-kilometres","Motorcycles","2,802","d"
"2010","Spain","Millions of passenger-kilometres","Passenger cars","341,629","d"
